iter	Passed	Remaining
0	0	62
1	1	58
2	1	54
3	2	50
4	2	49
5	3	49
6	3	48
7	4	48
8	4	48
9	5	46
10	5	46
11	6	46
12	6	45
13	7	45
14	7	44
15	8	44
16	9	44
17	9	43
18	10	43
19	10	42
20	11	41
21	11	41
22	12	41
23	12	40
24	13	40
25	13	39
26	14	39
27	15	39
28	15	38
29	16	38
30	17	38
31	17	37
32	18	37
33	19	36
34	19	36
35	20	36
36	20	35
37	21	35
38	22	34
39	23	34
40	23	34
41	23	33
42	24	32
43	25	32
44	25	31
45	26	30
46	27	30
47	27	29
48	28	29
49	28	28
50	29	28
51	30	27
52	30	27
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	34	23
59	34	23
60	35	22
61	36	22
62	36	21
63	37	21
64	38	20
65	38	19
66	39	19
67	40	18
68	40	18
69	41	17
70	41	17
71	42	16
72	43	15
73	43	15
74	44	14
75	44	14
76	45	13
77	46	12
78	46	12
79	47	11
80	47	11
81	48	10
82	48	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	58	0
99	58	0
