iter	Passed	Remaining
0	146	146842
1	148	74267
2	151	50189
3	153	38127
4	154	30792
5	156	25945
6	158	22513
7	160	19903
8	163	17977
9	164	16319
10	166	14996
11	168	13863
12	169	12890
13	171	12048
14	172	11314
15	173	10646
16	174	10061
17	174	9541
18	175	9079
19	176	8664
20	177	8293
21	178	7948
22	179	7630
23	180	7337
24	181	7070
25	182	6825
26	182	6591
27	183	6372
28	184	6173
29	185	5993
30	186	5817
31	187	5658
32	188	5509
33	188	5366
34	189	5231
35	190	5106
36	191	4985
37	192	4875
38	193	4771
39	194	4667
40	195	4571
41	196	4477
42	197	4388
43	198	4305
44	199	4223
45	200	4148
46	200	4074
47	201	4004
48	202	3937
49	203	3871
50	204	3809
51	205	3749
52	206	3696
53	207	3640
54	208	3588
55	209	3539
56	211	3492
57	212	3446
58	213	3397
59	213	3351
60	214	3308
61	215	3265
62	216	3226
63	218	3188
64	219	3151
65	221	3128
66	222	3099
67	223	3067
68	224	3033
69	225	3000
70	226	2966
71	227	2934
72	228	2901
73	229	2870
74	230	2840
75	231	2812
76	232	2783
77	233	2755
78	234	2733
79	235	2709
80	236	2688
81	238	2664
82	238	2637
83	239	2614
84	240	2590
85	241	2567
86	242	2544
87	243	2521
88	244	2500
89	245	2479
90	246	2458
91	247	2437
92	248	2419
93	250	2410
94	251	2394
95	252	2378
96	253	2362
97	254	2344
98	255	2327
99	256	2310
100	257	2293
101	258	2275
102	259	2258
103	260	2242
104	261	2225
105	261	2209
106	262	2193
107	263	2178
108	265	2167
109	266	2155
110	267	2144
111	268	2131
112	269	2118
113	270	2103
114	271	2090
115	272	2077
116	273	2062
117	274	2049
118	275	2036
119	276	2025
120	276	2011
121	277	1998
122	278	1987
123	279	1977
124	281	1969
125	282	1961
126	283	1949
127	284	1939
128	285	1928
129	286	1918
130	287	1908
131	288	1897
132	289	1888
133	290	1878
134	291	1867
135	292	1858
136	293	1848
137	295	1842
138	296	1835
139	297	1827
140	298	1820
141	299	1808
142	300	1800
143	301	1791
144	302	1782
145	303	1773
146	304	1764
147	305	1756
148	305	1747
149	306	1739
150	307	1730
151	308	1720
152	309	1715
153	311	1709
154	312	1703
155	313	1697
156	314	1690
157	315	1682
158	316	1675
159	317	1667
160	318	1658
161	319	1651
162	320	1643
163	321	1636
164	321	1629
165	322	1621
166	323	1614
167	324	1609
168	326	1604
169	327	1600
170	328	1594
171	329	1587
172	330	1580
173	331	1574
174	332	1568
175	333	1561
176	334	1555
177	335	1548
178	336	1542
179	337	1536
180	338	1530
181	339	1524
182	340	1519
183	341	1515
184	342	1510
185	343	1505
186	344	1499
187	345	1494
188	346	1488
189	347	1483
190	348	1477
191	349	1470
192	350	1465
193	351	1460
194	352	1454
195	353	1448
196	354	1444
197	355	1439
198	356	1435
199	357	1431
200	358	1426
201	359	1421
202	360	1417
203	361	1412
204	363	1407
205	364	1403
206	364	1398
207	366	1393
208	367	1389
209	367	1384
210	369	1380
211	370	1376
212	371	1373
213	372	1369
214	373	1365
215	374	1360
216	375	1355
217	376	1351
218	377	1346
219	378	1341
220	379	1336
221	380	1331
222	381	1327
223	382	1323
224	383	1319
225	384	1315
226	385	1313
227	386	1310
228	387	1306
229	389	1302
230	389	1298
231	390	1294
232	391	1289
233	392	1285
234	393	1281
235	394	1276
236	395	1272
237	396	1268
238	396	1263
239	397	1259
240	398	1255
241	399	1251
242	401	1250
243	402	1248
244	403	1244
245	404	1241
246	405	1237
247	406	1233
248	407	1230
249	408	1226
250	409	1222
251	410	1218
252	411	1214
253	412	1210
254	413	1206
255	414	1204
256	415	1202
257	417	1199
258	418	1197
259	419	1194
260	420	1191
261	421	1187
262	422	1184
263	423	1181
264	424	1177
265	425	1173
266	426	1170
267	427	1166
268	427	1162
269	428	1159
270	430	1156
271	431	1154
272	432	1152
273	433	1149
274	434	1146
275	435	1142
276	436	1139
277	437	1137
278	438	1134
279	439	1131
280	440	1127
281	441	1124
282	442	1121
283	443	1117
284	444	1114
285	446	1114
286	448	1114
287	449	1111
288	450	1108
289	451	1105
290	452	1103
291	453	1100
292	454	1097
293	455	1094
294	457	1092
295	458	1089
296	459	1086
297	475	1120
298	478	1122
299	480	1120
300	481	1118
301	483	1118
302	485	1116
303	486	1113
304	487	1111
305	489	1109
306	490	1107
307	494	1110
308	495	1108
309	497	1106
310	498	1103
311	499	1101
312	500	1099
313	501	1096
314	502	1093
315	504	1090
316	504	1087
317	506	1085
318	510	1090
319	512	1088
320	513	1086
321	514	1083
322	515	1081
323	516	1078
324	517	1075
325	518	1072
326	519	1069
327	520	1066
328	521	1064
329	524	1064
330	526	1063
331	527	1061
332	528	1059
333	529	1056
334	530	1053
335	532	1051
336	533	1049
337	534	1045
338	535	1043
339	536	1040
340	537	1038
341	539	1037
342	540	1035
343	541	1033
344	543	1030
345	544	1028
346	545	1026
347	546	1024
348	547	1021
349	548	1019
350	550	1017
351	551	1014
352	552	1011
353	553	1010
354	556	1010
355	557	1008
